index,gender,Annual_income,income_type,Education,family_type,house_type,DAYS_BIRTH,working_day,FLAG_MOBIL,work_phone,phone,email,occyp_type,begin_month,car_reality,credit
21,F,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,0,1,0,1,0,,-7.0,0,2.0
22,F,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,1,0,0,0,Laborers,-22.0,0,0.0
23,M,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,-14542,-444,1,1,1,1,,-18.0,1,2.0
24,F,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22361,0,1,0,1,0,,-5.0,0,2.0
25,F,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14058,-3694,1,0,0,0,Realty agents,-4.0,1,2.0
26,M,135000.0,Working,Higher education,Married,House / apartment,-17843,-3353,1,1,0,0,Laborers,-13.0,1,2.0
27,M,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-17309,-3500,1,0,0,0,,-57.0,2,2.0
28,M,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,-22111,-2325,1,1,1,0,Drivers,-47.0,1,2.0
29,F,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-12017,-1711,1,0,1,0,Sales staff,-22.0,1,0.0
30,M,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13188,-227,1,0,0,0,Managers,-33.0,1,2.0
31,M,135000.0,Commercial associate,Higher education,Married,House / apartment,-11762,-3452,1,1,0,1,Laborers,-18.0,2,0.0
32,F,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,1,0,0,0,Laborers,-2.0,1,0.0
33,M,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19200,-346,1,0,1,0,High skill tech staff,-30.0,1,2.0
34,M,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14488,-1630,1,0,1,0,Laborers,-22.0,2,0.0
35,F,225000.0,Working,Higher education,Civil marriage,House / apartment,-14438,-2433,1,0,0,0,Managers,-20.0,1,2.0
36,F,225000.0,Working,Higher education,Single / not married,House / apartment,-20200,-1022,1,1,1,0,Accountants,-14.0,1,2.0
37,M,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,-16653,-1646,1,0,0,0,Drivers,-8.0,2,2.0
38,F,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13582,-3472,1,0,0,0,Sales staff,-41.0,1,2.0
39,M,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13022,-1600,1,0,0,0,Laborers,-39.0,2,2.0
40,M,90900.0,Working,Secondary / secondary special,Married,House / apartment,-21700,-2426,1,0,0,0,Laborers,-21.0,2,1.0
41,F,99000.0,Commercial associate,Higher education,Married,House / apartment,-12752,-433,1,0,1,0,Accountants,-19.0,1,2.0
42,M,270000.0,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,1,0,0,Managers,-35.0,0,0.0
43,F,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9963,-1876,1,0,0,0,Sales staff,-8.0,0,1.0
44,M,247500.0,Working,Higher education,Civil marriage,House / apartment,-15125,-199,1,0,0,0,Drivers,-26.0,0,2.0
45,M,405000.0,Working,Higher education,Married,House / apartment,-18655,-3200,1,1,1,0,High skill tech staff,-4.0,1,0.0
46,F,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21100,0,1,0,1,0,,-24.0,0,2.0
47,F,292500.0,Commercial associate,Higher education,Married,House / apartment,-18409,-3482,1,0,0,0,Sales staff,-48.0,2,2.0
48,F,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23585,0,1,0,0,0,,-4.0,1,2.0
49,F,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18858,-2010,1,0,1,0,,-12.0,1,2.0
50,F,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13951,-1101,1,1,0,0,Sales staff,-4.0,1,2.0
51,M,495000.0,Working,Incomplete higher,Married,With parents,-8917,-1101,1,0,0,1,Drivers,-10.0,2,2.0
52,F,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24044,0,1,0,1,0,,-37.0,1,2.0
53,F,306000.0,State servant,Higher education,Married,House / apartment,-13541,-3965,1,0,0,0,Core staff,-42.0,2,2.0
54,F,99000.0,Working,Secondary / secondary special,Married,House / apartment,-15626,-422,1,0,0,0,,-2.0,0,1.0
55,F,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13856,-3010,1,0,0,0,Laborers,-24.0,1,2.0
56,F,130500.0,Working,Secondary / secondary special,Married,House / apartment,-16137,-9391,1,0,1,0,Laborers,-29.0,2,2.0
57,F,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,1,0,0,0,Core staff,-3.0,1,1.0
58,F,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23334,0,1,0,0,0,,-23.0,1,2.0
59,F,360000.0,Pensioner,Higher education,Married,House / apartment,-22985,0,1,0,1,0,,-25.0,1,2.0
60,M,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21397,0,1,0,0,0,,-1.0,2,1.0
61,M,270000.0,Commercial associate,Higher education,Married,House / apartment,-11373,-1371,1,0,0,0,Managers,-15.0,1,2.0
62,F,225000.0,Working,Higher education,Married,House / apartment,-17402,-3153,1,0,1,0,Core staff,-40.0,2,1.0
63,M,315000.0,Working,Higher education,Married,House / apartment,-15586,-3337,1,0,0,0,Managers,-21.0,2,2.0
64,M,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9047,-716,1,0,0,0,Security staff,-32.0,1,2.0
65,F,40500.0,Working,Secondary / secondary special,Married,House / apartment,-12729,-4936,1,1,0,0,Cleaning staff,-10.0,1,2.0
66,M,144000.0,Working,Secondary / secondary special,Married,House / apartment,-13761,-2783,1,0,0,0,Laborers,-4.0,1,1.0
67,F,157500.0,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,1,0,0,0,High skill tech staff,-2.0,1,1.0
68,F,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,1,0,0,0,Laborers,-14.0,0,1.0
69,F,157500.0,Working,Higher education,Married,House / apartment,-15462,-2969,1,0,0,1,Medicine staff,-59.0,1,2.0
70,M,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,1,0,1,0,Laborers,-39.0,1,2.0
71,M,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15904,-3787,1,0,0,0,Laborers,-54.0,1,2.0
72,F,351000.0,Commercial associate,Higher education,Married,House / apartment,-21574,-1081,1,0,1,0,,-4.0,0,2.0
73,F,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23269,0,1,0,1,0,,-34.0,1,2.0
74,F,67500.0,Working,Secondary / secondary special,Married,House / apartment,-10350,-219,1,1,1,0,Sales staff,-25.0,1,2.0
75,F,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,1,0,0,1,Core staff,-34.0,2,2.0
76,F,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,-15.0,1,2.0
77,F,135000.0,Working,Higher education,Single / not married,House / apartment,-9818,-520,1,0,0,0,Core staff,-7.0,0,1.0
78,F,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12690,-231,1,1,0,0,Sales staff,-23.0,2,1.0
79,F,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,1,0,0,0,Core staff,-2.0,2,0.0
80,F,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17862,-212,1,0,0,0,Laborers,-2.0,1,1.0
81,M,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10314,-962,1,0,0,1,Sales staff,0.0,2,0.0
82,F,216000.0,Working,Higher education,Civil marriage,House / apartment,-15274,-1423,1,0,0,1,Accountants,-53.0,2,2.0
83,F,180000.0,Working,Higher education,Married,House / apartment,-11905,-1700,1,0,0,0,High skill tech staff,-38.0,0,1.0
84,M,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23563,0,1,0,1,0,,-27.0,2,2.0
85,M,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,-18013,-1215,1,0,0,0,Laborers,-41.0,1,1.0
86,M,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,1,0,1,Drivers,-45.0,2,2.0
87,F,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13270,-235,1,1,1,1,Core staff,-56.0,1,2.0
88,F,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20412,-5427,1,0,0,0,Managers,-45.0,2,2.0
89,M,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14465,-4145,1,1,1,0,Managers,-59.0,0,2.0
90,F,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-20200,-9404,1,1,0,0,Cleaning staff,-30.0,1,2.0
91,F,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18744,-2988,1,0,0,0,Private service staff,-20.0,2,2.0
92,M,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,1,0,0,0,Laborers,-5.0,2,2.0
93,F,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19053,-3629,1,0,0,0,High skill tech staff,-22.0,1,1.0
94,F,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,0,1,0,0,0,,-26.0,1,2.0
95,M,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16081,0,1,0,1,0,,-14.0,1,2.0
96,M,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23674,-2087,1,0,0,0,Security staff,-56.0,1,2.0
97,M,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9373,-1212,1,0,0,0,Drivers,-46.0,2,2.0
98,M,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,1,0,0,1,Sales staff,-5.0,2,2.0
99,F,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,1,0,1,1,Medicine staff,-35.0,0,2.0
100,F,135000.0,Working,Higher education,Married,House / apartment,-22112,-8491,1,0,0,0,Private service staff,-9.0,1,2.0
101,F,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,1,0,Managers,-2.0,1,1.0
102,F,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12269,-604,1,0,0,0,Managers,-12.0,0,2.0
103,M,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,Managers,-12.0,1,2.0
104,M,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15994,-2537,1,0,1,0,Sales staff,-7.0,2,0.0
105,M,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984,-2606,1,0,0,0,Laborers,-5.0,2,2.0
106,F,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16118,-1959,1,0,1,0,,-47.0,0,2.0
107,F,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,1,0,0,0,,-4.0,1,1.0
108,F,153000.0,Working,Higher education,Single / not married,House / apartment,-10762,-683,1,0,1,0,Core staff,-22.0,1,2.0
109,F,126000.0,Working,Secondary / secondary special,Married,House / apartment,-22811,-2234,1,1,1,0,High skill tech staff,-13.0,1,2.0
110,M,315000.0,Commercial associate,Higher education,Married,House / apartment,-12846,-164,1,0,0,0,Managers,-57.0,2,2.0
111,M,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,1,0,0,0,Drivers,-44.0,2,2.0
112,F,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17826,-201,1,0,1,0,Laborers,-4.0,0,2.0
113,F,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17384,-1138,1,0,0,0,Cooking staff,-36.0,1,1.0
114,M,135000.0,Working,Higher education,Married,House / apartment,-11564,-2944,1,0,0,1,Managers,-43.0,2,2.0
115,F,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20920,0,1,0,0,0,,-49.0,0,2.0
116,F,382500.0,Working,Secondary / secondary special,Married,House / apartment,-14317,-2751,1,0,0,0,Managers,-11.0,2,2.0
117,F,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16173,-674,1,0,0,0,Sales staff,-27.0,1,2.0
118,F,112500.0,Working,Higher education,Married,House / apartment,-18259,-5756,1,0,1,0,Sales staff,-47.0,1,2.0
119,F,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12393,-1854,1,1,1,0,Cooking staff,0.0,1,1.0
120,F,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,0,1,0,0,0,,-4.0,1,1.0
121,F,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,-16641,-9988,1,1,1,0,Sales staff,-35.0,0,2.0
122,F,283500.0,State servant,Higher education,Married,House / apartment,-12902,-4120,1,0,0,0,Core staff,-39.0,2,2.0
123,F,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19431,-6226,1,0,0,0,High skill tech staff,-48.0,1,2.0
124,F,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15525,-3357,1,0,0,0,Accountants,-55.0,2,2.0
125,M,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12483,-4039,1,0,0,0,Managers,-42.0,1,2.0
126,F,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-11709,-4983,1,0,0,0,Laborers,-45.0,1,2.0
127,M,360000.0,Commercial associate,Higher education,Married,House / apartment,-16537,-410,1,0,1,1,Laborers,-30.0,2,2.0
128,F,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13741,-5221,1,0,0,0,Laborers,-38.0,1,1.0
129,M,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17537,-1749,1,0,0,0,Laborers,-11.0,0,2.0
130,F,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,-1.0,1,0.0
131,F,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228,-5330,1,0,1,0,,-33.0,1,0.0
132,F,225000.0,Commercial associate,Higher education,Married,House / apartment,-10559,-429,1,1,1,0,Drivers,-35.0,0,2.0
133,F,387000.0,Working,Higher education,Married,House / apartment,-13168,-2574,1,0,0,0,Managers,-22.0,1,2.0
134,F,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22991,0,1,0,0,0,,-6.0,2,2.0
135,M,337500.0,Commercial associate,Higher education,Separated,House / apartment,-15333,-196,1,0,1,0,Managers,-23.0,1,0.0
136,F,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12640,-399,1,0,0,0,Accountants,-29.0,0,2.0
137,F,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13591,-3246,1,0,0,0,Sales staff,-46.0,2,2.0
138,F,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24367,0,1,0,0,0,,-2.0,1,0.0
139,F,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,1,0,1,0,,-39.0,1,2.0
140,M,180000.0,Working,Higher education,Married,With parents,-11917,-1680,1,1,0,0,Laborers,-15.0,2,0.0
141,F,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,1,0,0,1,Core staff,-12.0,2,2.0
142,M,360000.0,Working,Higher education,Married,House / apartment,-22456,-1934,1,0,1,0,Managers,-11.0,2,2.0
143,F,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-1071,1,0,0,1,Core staff,-45.0,2,2.0
144,F,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10351,-1322,1,0,0,0,,-8.0,1,2.0
145,F,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,1,0,1,0,Medicine staff,-7.0,1,2.0
146,F,247500.0,Working,Higher education,Married,House / apartment,-14136,-7400,1,1,1,0,Managers,-6.0,0,1.0
147,F,157500.0,Working,Higher education,Married,House / apartment,-12681,-709,1,0,0,0,Sales staff,-11.0,1,1.0
148,M,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14496,-808,1,0,1,0,,-26.0,2,2.0
149,F,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12974,-2379,1,0,0,0,Laborers,-49.0,1,1.0
150,F,157500.0,Working,Higher education,Married,House / apartment,-11900,-2828,1,0,0,0,Laborers,-41.0,1,2.0
151,M,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15344,-314,1,0,0,0,Drivers,-33.0,2,2.0
152,F,360000.0,Working,Secondary / secondary special,Separated,House / apartment,-10597,-574,1,1,0,0,Medicine staff,-35.0,2,2.0
153,M,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17975,-3476,1,0,0,0,Drivers,-32.0,2,1.0
154,F,175500.0,Working,Secondary / secondary special,Married,House / apartment,-18868,-10993,1,1,0,0,,-46.0,0,2.0
155,F,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20362,0,1,0,0,0,,-35.0,1,2.0
156,M,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,1,0,0,0,Laborers,-38.0,1,2.0
157,M,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,1,0,0,0,,-44.0,1,2.0
158,M,202500.0,State servant,Higher education,Married,House / apartment,-10756,-2355,1,0,0,0,Core staff,-39.0,1,2.0
159,F,153000.0,Pensioner,Higher education,Married,House / apartment,-21899,0,1,0,1,0,,-51.0,1,1.0
160,F,72000.0,Working,Secondary / secondary special,Married,House / apartment,-17136,-1266,1,0,0,0,Sales staff,-11.0,2,2.0
161,M,360000.0,Working,Secondary / secondary special,Married,House / apartment,-13465,-839,1,0,1,0,Managers,-33.0,2,0.0
162,F,540000.0,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,1,0,0,Managers,-60.0,0,2.0
163,F,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22044,0,1,0,0,0,,-24.0,1,2.0
164,M,189000.0,Working,Secondary / secondary special,Married,House / apartment,-20815,-829,1,0,0,1,Security staff,-3.0,2,1.0
165,F,139500.0,State servant,Higher education,Married,House / apartment,-21017,-895,1,1,1,0,,-4.0,1,1.0
166,F,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21596,0,1,0,1,0,,-15.0,1,2.0
167,M,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15980,-119,1,1,1,0,Drivers,-14.0,1,2.0
168,F,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,1,0,,-21.0,0,1.0
169,F,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-14077,-3792,1,0,0,0,,-3.0,1,1.0
170,M,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,-60.0,2,2.0
171,F,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15499,-869,1,0,0,0,Private service staff,-2.0,0,0.0
172,M,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-8091,1,0,0,0,,-49.0,1,1.0
173,F,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23086,0,1,0,0,0,,-19.0,1,0.0
174,F,225000.0,Commercial associate,Higher education,Married,House / apartment,-10755,-1040,1,0,0,1,Sales staff,-15.0,1,2.0
175,M,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10705,-1376,1,0,0,0,Drivers,-2.0,1,1.0
176,F,315000.0,State servant,Higher education,Married,House / apartment,-17940,-9957,1,1,0,0,Managers,-26.0,1,2.0
177,F,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,1,0,0,0,,-22.0,0,1.0
178,M,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20288,0,1,0,0,0,,-12.0,0,2.0
179,M,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-16990,-2026,1,0,0,0,Drivers,-19.0,2,2.0
180,F,720000.0,Commercial associate,Higher education,Separated,House / apartment,-20791,-4814,1,1,1,0,Managers,-58.0,2,2.0
181,F,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20718,0,1,0,0,0,,-5.0,1,0.0
182,F,67500.0,Working,Higher education,Married,House / apartment,-10281,-961,1,1,0,0,,-12.0,1,0.0
183,F,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22861,0,1,0,1,0,,-42.0,1,1.0
184,M,225000.0,Working,Secondary / secondary special,Married,Office apartment,-15092,-995,1,0,0,1,Drivers,-46.0,1,2.0
185,F,180000.0,Working,Lower secondary,Widow,House / apartment,-16803,-2227,1,1,1,0,Cleaning staff,-49.0,1,2.0
186,F,216000.0,Working,Higher education,Married,House / apartment,-18529,-1809,1,0,0,0,Secretaries,-10.0,2,2.0
187,F,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,1,0,0,0,Laborers,-4.0,2,1.0
188,F,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20027,0,1,0,0,0,,-26.0,0,0.0
189,F,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,1,0,0,0,,-44.0,1,2.0
190,F,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23262,0,1,0,1,0,,-13.0,1,0.0
191,F,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21310,0,1,0,0,0,,-28.0,0,2.0
192,F,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,1,0,0,0,Laborers,-14.0,1,2.0
193,M,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16224,-2574,1,0,0,0,Security staff,-22.0,1,0.0
194,M,252000.0,State servant,Higher education,Married,House / apartment,-12483,-1650,1,1,1,0,High skill tech staff,-19.0,1,1.0
195,F,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10981,-552,1,0,0,0,Laborers,-5.0,1,2.0
196,M,202500.0,Working,Secondary / secondary special,Married,House / apartment,-9889,-2289,1,0,0,0,Managers,-36.0,2,2.0
197,M,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11524,-2554,1,0,0,0,Sales staff,-49.0,1,2.0
198,F,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-13077,-5394,1,1,0,0,Medicine staff,-26.0,1,1.0
199,F,360000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-658,1,0,1,0,Sales staff,-11.0,1,2.0
200,M,202500.0,Working,Higher education,Married,House / apartment,-14646,-1953,1,0,0,0,Managers,-3.0,2,1.0
201,F,225000.0,Working,Higher education,Married,House / apartment,-12322,-3717,1,0,0,0,Core staff,-10.0,2,1.0
202,F,135000.0,Working,Higher education,Married,House / apartment,-14185,-4447,1,1,0,0,Core staff,-8.0,0,1.0
203,M,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11613,-4031,1,0,1,0,Laborers,-41.0,2,2.0
204,M,382500.0,Working,Secondary / secondary special,Married,Municipal apartment,-17254,-1207,1,1,1,0,Managers,-46.0,0,1.0
205,F,171000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-16938,-673,1,0,0,0,Laborers,-28.0,1,2.0
206,M,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-11365,-2745,1,1,1,0,Core staff,-48.0,0,1.0
207,F,144000.0,Working,Secondary / secondary special,Widow,House / apartment,-14407,-1345,1,0,0,0,HR staff,-6.0,1,2.0
208,F,112500.0,State servant,Higher education,Married,House / apartment,-11604,-2721,1,0,0,1,Core staff,-3.0,0,0.0
209,F,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21383,0,1,0,1,0,,-18.0,1,2.0
210,F,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,1,0,0,0,Core staff,0.0,2,1.0
211,F,315000.0,Commercial associate,Higher education,Separated,House / apartment,-17752,-2380,1,1,1,0,Accountants,-52.0,1,2.0
212,M,427500.0,Working,Higher education,Married,House / apartment,-15085,-354,1,0,0,0,Managers,-3.0,2,1.0
213,F,78750.0,Working,Secondary / secondary special,Married,With parents,-12104,-2045,1,1,0,0,Security staff,-13.0,0,2.0
214,F,67500.0,Pensioner,Higher education,Widow,House / apartment,-24081,0,1,0,0,0,,-30.0,0,0.0
215,F,121500.0,Working,Secondary / secondary special,Married,House / apartment,-22046,-2011,1,0,0,0,Laborers,-13.0,1,2.0
216,F,144000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16898,-7310,1,1,1,0,Core staff,-42.0,0,2.0
217,F,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22283,0,1,0,0,0,,-45.0,1,1.0
218,F,94500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21513,0,1,0,1,0,,-41.0,0,0.0
219,F,562500.0,Working,Higher education,Married,House / apartment,-14654,-2836,1,1,0,0,Managers,-12.0,1,0.0
220,F,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21992,0,1,0,0,0,,-32.0,1,1.0
221,F,72000.0,Commercial associate,Higher education,Married,House / apartment,-14173,-1925,1,0,0,1,Accountants,-43.0,0,2.0
